"id","state","estimated_population_2019","confirmed","date","deaths","update_source"
3976,"CE",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3977,"RN",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3978,"PB",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3979,"PE",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3980,"AL",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3981,"SE",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3982,"BA",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3983,"MG",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3984,"ES",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3985,"RJ",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3986,"RO",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3987,"PR",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3988,"SC",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3989,"RS",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3990,"MS",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3991,"MT",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3992,"GO",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3993,"DF",0,0,"2020-02-25",0,"Secretaria Estadual de Saúde"
3994,"AC",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
3995,"AM",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
3996,"RR",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
3997,"PA",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
3998,"AP",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
3999,"TO",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4000,"MA",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4001,"PI",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4002,"CE",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4003,"RN",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4004,"PB",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4005,"PE",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4006,"AL",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4007,"SE",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4008,"BA",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4009,"MG",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4010,"ES",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4011,"RJ",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4012,"RO",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4013,"PR",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4014,"SC",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4015,"RS",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4016,"MS",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4017,"MT",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4018,"GO",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4019,"DF",0,0,"2020-02-26",0,"Secretaria Estadual de Saúde"
4020,"AC",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4021,"AM",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4022,"RR",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4023,"PA",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4024,"AP",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4025,"TO",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4026,"MA",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4027,"PI",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4028,"CE",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4029,"RN",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4030,"PB",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4031,"PE",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4032,"AL",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4033,"SE",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4034,"BA",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4035,"MG",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4036,"ES",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4037,"RJ",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4038,"RO",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4039,"PR",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4040,"SC",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4041,"RS",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4042,"MS",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4043,"MT",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4044,"GO",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4045,"DF",0,0,"2020-02-27",0,"Secretaria Estadual de Saúde"
4046,"AC",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4047,"AM",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4048,"RR",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4049,"PA",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4050,"AP",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4051,"TO",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4052,"MA",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4053,"PI",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4054,"CE",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4055,"RN",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4056,"PB",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4057,"PE",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4058,"AL",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4059,"SE",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4060,"BA",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4061,"MG",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4062,"ES",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4063,"RJ",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4064,"RO",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4065,"PR",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4066,"SC",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4067,"RS",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4068,"MS",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4069,"MT",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4070,"GO",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
4071,"DF",0,0,"2020-02-28",0,"Secretaria Estadual de Saúde"
2283,"PR",11433957,6,"2020-03-12",0,"Secretaria Estadual de Saúde"
2284,"SC",7164788,2,"2020-03-12",0,"Secretaria Estadual de Saúde"
2285,"RS",11377239,4,"2020-03-12",0,"Secretaria Estadual de Saúde"
2286,"GO",7018354,3,"2020-03-12",0,"Secretaria Estadual de Saúde"
2287,"DF",3015268,2,"2020-03-12",0,"Secretaria Estadual de Saúde"
2288,"AM",4144597,2,"2020-03-13",0,"Secretaria Estadual de Saúde"
2289,"RN",3506853,1,"2020-03-13",0,"Secretaria Estadual de Saúde"
2290,"PB",4018127,0,"2020-03-13",0,"Secretaria Estadual de Saúde"
2291,"PE",9557071,2,"2020-03-13",0,"Secretaria Estadual de Saúde"
2292,"AL",3337357,1,"2020-03-13",0,"Secretaria Estadual de Saúde"
2293,"BA",14873064,7,"2020-03-13",0,"Secretaria Estadual de Saúde"
2294,"MG",21168791,2,"2020-03-13",0,"Secretaria Estadual de Saúde"
2295,"ES",4018650,2,"2020-03-13",0,"Secretaria Estadual de Saúde"
2296,"PR",11433957,6,"2020-03-13",0,"Secretaria Estadual de Saúde"
2297,"SC",7164788,3,"2020-03-13",0,"Secretaria Estadual de Saúde"
2298,"RS",11377239,4,"2020-03-13",0,"Secretaria Estadual de Saúde"
2299,"GO",7018354,3,"2020-03-13",0,"Secretaria Estadual de Saúde"
2300,"DF",3015268,2,"2020-03-13",0,"Secretaria Estadual de Saúde"
2301,"SP",45919049,65,"2020-03-14",0,"Secretaria Estadual de Saúde"
2302,"PB",4018127,0,"2020-03-14",0,"Secretaria Estadual de Saúde"
2303,"PE",9557071,7,"2020-03-14",0,"Secretaria Estadual de Saúde"
2304,"SE",2298696,1,"2020-03-14",0,"Secretaria Estadual de Saúde"
2305,"MG",21168791,4,"2020-03-14",0,"Secretaria Estadual de Saúde"
2306,"ES",4018650,4,"2020-03-14",0,"Secretaria Estadual de Saúde"
2307,"SC",7164788,5,"2020-03-14",0,"Secretaria Estadual de Saúde"
2308,"MS",2778986,2,"2020-03-14",0,"Secretaria Estadual de Saúde"
2309,"GO",7018354,4,"2020-03-14",0,"Secretaria Estadual de Saúde"
2310,"DF",3015268,8,"2020-03-14",0,"Secretaria Estadual de Saúde"
2311,"PB",4018127,0,"2020-03-15",0,"Secretaria Estadual de Saúde"
2312,"PE",9557071,8,"2020-03-15",0,"Secretaria Estadual de Saúde"
2313,"BA",14873064,9,"2020-03-15",0,"Secretaria Estadual de Saúde"
2314,"ES",4018650,4,"2020-03-15",0,"Secretaria Estadual de Saúde"
2315,"RJ",17264943,24,"2020-03-15",0,"Secretaria Estadual de Saúde"
2316,"SC",7164788,6,"2020-03-15",0,"Secretaria Estadual de Saúde"
2317,"MS",2778986,2,"2020-03-15",0,"Secretaria Estadual de Saúde"
2318,"GO",7018354,4,"2020-03-15",0,"Secretaria Estadual de Saúde"
2319,"DF",3015268,14,"2020-03-15",0,"Secretaria Estadual de Saúde"
2320,"SP",45919049,152,"2020-03-16",0,"Secretaria Estadual de Saúde"
2321,"CE",9132078,9,"2020-03-16",0,"Secretaria Estadual de Saúde"
2322,"RN",3506853,1,"2020-03-16",0,"Secretaria Estadual de Saúde"
2323,"PB",4018127,0,"2020-03-16",0,"Secretaria Estadual de Saúde"
2324,"PE",9557071,8,"2020-03-16",0,"Secretaria Estadual de Saúde"
2325,"AL",3337357,1,"2020-03-16",0,"Secretaria Estadual de Saúde"
2326,"SE",2298696,5,"2020-03-16",0,"Secretaria Estadual de Saúde"
2327,"BA",14873064,10,"2020-03-16",0,"Secretaria Estadual de Saúde"
2328,"MG",21168791,6,"2020-03-16",0,"Secretaria Estadual de Saúde"
2329,"ES",4018650,8,"2020-03-16",0,"Secretaria Estadual de Saúde"
2330,"RJ",17264943,25,"2020-03-16",0,"Secretaria Estadual de Saúde"
2331,"PR",11433957,6,"2020-03-16",0,"Secretaria Estadual de Saúde"
2332,"SC",7164788,7,"2020-03-16",0,"Secretaria Estadual de Saúde"
2333,"RS",11377239,8,"2020-03-16",0,"Secretaria Estadual de Saúde"
2334,"MS",2778986,4,"2020-03-16",0,"Secretaria Estadual de Saúde"
2335,"GO",7018354,9,"2020-03-16",0,"Secretaria Estadual de Saúde"
2336,"DF",3015268,19,"2020-03-16",0,"Secretaria Estadual de Saúde"
2337,"SP",45919049,164,"2020-03-17",1,"Secretaria Estadual de Saúde"
2338,"AC",881935,3,"2020-03-17",0,"Secretaria Estadual de Saúde"
3258,"RS",11377239,918,"2020-04-21",27,"Secretaria Estadual de Saúde"
3259,"MS",2778986,173,"2020-04-21",6,"Secretaria Estadual de Saúde"
3260,"MT",3484466,181,"2020-04-21",6,"Secretaria Estadual de Saúde"
3261,"GO",7018354,421,"2020-04-21",19,"Secretaria Estadual de Saúde"
3262,"DF",3015268,913,"2020-04-21",24,"Secretaria Estadual de Saúde"
3263,"SP",45919049,15914,"2020-04-22",1134,"Secretaria Estadual de Saúde"
3264,"AC",881935,214,"2020-04-22",8,"Secretaria Estadual de Saúde"
3265,"AM",4144597,2479,"2020-04-22",206,"Secretaria Estadual de Saúde"
3266,"RR",605761,297,"2020-04-22",3,"Secretaria Estadual de Saúde"
3267,"PA",8602865,1195,"2020-04-22",43,"Secretaria Estadual de Saúde"
3268,"AP",845731,492,"2020-04-22",14,"Secretaria Estadual de Saúde"
3269,"TO",1572866,37,"2020-04-22",2,"Secretaria Estadual de Saúde"
3270,"MA",7075181,1757,"2020-04-22",76,"Secretaria Estadual de Saúde"
3271,"PI",3273227,217,"2020-04-22",15,"Secretaria Estadual de Saúde"
3272,"CE",9132078,4116,"2020-04-22",239,"Secretaria Estadual de Saúde"
3273,"RN",3506853,708,"2020-04-22",34,"Secretaria Estadual de Saúde"
3274,"PB",4018127,345,"2020-04-22",40,"Secretaria Estadual de Saúde"
3275,"PE",9557071,3298,"2020-04-22",282,"Secretaria Estadual de Saúde"
3276,"AL",3337357,243,"2020-04-22",20,"Secretaria Estadual de Saúde"
3277,"SE",2298696,118,"2020-04-22",7,"Secretaria Estadual de Saúde"
3278,"BA",14873064,1645,"2020-04-22",53,"Secretaria Estadual de Saúde"
3279,"MG",21168791,1283,"2020-04-22",47,"Secretaria Estadual de Saúde"
3280,"ES",4018650,1351,"2020-04-22",37,"Secretaria Estadual de Saúde"
3281,"RJ",17264943,5552,"2020-04-22",490,"Secretaria Estadual de Saúde"
3282,"PR",11433957,1077,"2020-04-22",60,"Secretaria Estadual de Saúde"
3283,"SC",7164788,1115,"2020-04-22",39,"Secretaria Estadual de Saúde"
3284,"RS",11377239,970,"2020-04-22",28,"Secretaria Estadual de Saúde"
3285,"MS",2778986,175,"2020-04-22",6,"Secretaria Estadual de Saúde"
3286,"MT",3484466,205,"2020-04-22",6,"Secretaria Estadual de Saúde"
3287,"GO",7018354,438,"2020-04-22",21,"Secretaria Estadual de Saúde"
3288,"DF",3015268,959,"2020-04-22",25,"Secretaria Estadual de Saúde"
3289,"SP",45919049,16740,"2020-04-23",1345,"Secretaria Estadual de Saúde"
3290,"AC",881935,227,"2020-04-23",10,"Secretaria Estadual de Saúde"
3291,"AM",4144597,2888,"2020-04-23",234,"Secretaria Estadual de Saúde"
3292,"RR",605761,304,"2020-04-23",3,"Secretaria Estadual de Saúde"
3293,"PA",8602865,1267,"2020-04-23",53,"Secretaria Estadual de Saúde"
3294,"AP",845731,555,"2020-04-23",16,"Secretaria Estadual de Saúde"
3295,"TO",1572866,43,"2020-04-23",2,"Secretaria Estadual de Saúde"
3296,"MA",7075181,1951,"2020-04-23",88,"Secretaria Estadual de Saúde"
3297,"PI",3273227,256,"2020-04-23",16,"Secretaria Estadual de Saúde"
3298,"CE",9132078,4702,"2020-04-23",271,"Secretaria Estadual de Saúde"
3299,"RN",3506853,754,"2020-04-23",38,"Secretaria Estadual de Saúde"
3300,"PB",4018127,386,"2020-04-23",44,"Secretaria Estadual de Saúde"
3301,"PE",9557071,3604,"2020-04-23",312,"Secretaria Estadual de Saúde"
3302,"AL",3337357,324,"2020-04-23",22,"Secretaria Estadual de Saúde"
3303,"SE",2298696,135,"2020-04-23",8,"Secretaria Estadual de Saúde"
3304,"BA",14873064,1845,"2020-04-23",62,"Secretaria Estadual de Saúde"
3305,"MG",21168791,1308,"2020-04-23",51,"Secretaria Estadual de Saúde"
3306,"ES",4018650,1453,"2020-04-23",43,"Secretaria Estadual de Saúde"
3307,"RJ",17264943,6172,"2020-04-23",530,"Secretaria Estadual de Saúde"
3308,"RO",1777225,250,"2020-04-23",5,"Secretaria Estadual de Saúde"
3309,"PR",11433957,1096,"2020-04-23",62,"Secretaria Estadual de Saúde"
3310,"SC",7164788,1170,"2020-04-23",42,"Secretaria Estadual de Saúde"
3311,"RS",11377239,1039,"2020-04-23",29,"Secretaria Estadual de Saúde"
3312,"MS",2778986,186,"2020-04-23",7,"Secretaria Estadual de Saúde"
3313,"MT",3484466,220,"2020-04-23",7,"Secretaria Estadual de Saúde"
3314,"GO",7018354,453,"2020-04-23",23,"Secretaria Estadual de Saúde"
3315,"DF",3015268,968,"2020-04-23",26,"Secretaria Estadual de Saúde"
3316,"SP",45919049,17826,"2020-04-24",1512,"Secretaria Estadual de Saúde"
3317,"AC",881935,234,"2020-04-24",11,"Secretaria Estadual de Saúde"
3318,"AM",4144597,3194,"2020-04-24",255,"Secretaria Estadual de Saúde"
3319,"RR",605761,345,"2020-04-24",3,"Secretaria Estadual de Saúde"
3320,"PA",8602865,1579,"2020-04-24",86,"Secretaria Estadual de Saúde"
3321,"AP",845731,648,"2020-04-24",18,"Secretaria Estadual de Saúde"
3322,"TO",1572866,50,"2020-04-24",2,"Secretaria Estadual de Saúde"
3323,"MA",7075181,2105,"2020-04-24",100,"Secretaria Estadual de Saúde"
3324,"PI",3273227,297,"2020-04-24",17,"Secretaria Estadual de Saúde"
3325,"CE",9132078,5121,"2020-04-24",293,"Secretaria Estadual de Saúde"
3326,"RN",3506853,781,"2020-04-24",40,"Secretaria Estadual de Saúde"
3327,"PB",4018127,447,"2020-04-24",46,"Secretaria Estadual de Saúde"
3328,"PE",9557071,3999,"2020-04-24",352,"Secretaria Estadual de Saúde"
3329,"AL",3337357,413,"2020-04-24",27,"Secretaria Estadual de Saúde"
3330,"SE",2298696,145,"2020-04-24",8,"Secretaria Estadual de Saúde"
3331,"BA",14873064,1979,"2020-04-24",67,"Secretaria Estadual de Saúde"
3332,"MG",21168791,1419,"2020-04-24",54,"Secretaria Estadual de Saúde"
3333,"ES",4018650,1665,"2020-04-24",47,"Secretaria Estadual de Saúde"
3334,"RJ",17264943,6282,"2020-04-24",570,"Secretaria Estadual de Saúde"
3335,"RO",1777225,290,"2020-04-24",6,"Secretaria Estadual de Saúde"
3336,"PR",11433957,1133,"2020-04-24",67,"Secretaria Estadual de Saúde"
3337,"SC",7164788,1209,"2020-04-24",42,"Secretaria Estadual de Saúde"
3338,"RS",11377239,1096,"2020-04-24",34,"Secretaria Estadual de Saúde"
3339,"MS",2778986,213,"2020-04-24",7,"Secretaria Estadual de Saúde"
3340,"MT",3484466,241,"2020-04-24",8,"Secretaria Estadual de Saúde"
3341,"GO",7018354,486,"2020-04-24",24,"Secretaria Estadual de Saúde"
3342,"DF",3015268,1012,"2020-04-24",26,"Secretaria Estadual de Saúde"
3343,"SP",45919049,20004,"2020-04-25",1667,"Secretaria Estadual de Saúde"
3344,"AC",881935,258,"2020-04-25",11,"Secretaria Estadual de Saúde"
3345,"AM",4144597,3635,"2020-04-25",287,"Secretaria Estadual de Saúde"
3346,"RR",605761,401,"2020-04-25",4,"Secretaria Estadual de Saúde"
3347,"PA",8602865,1745,"2020-04-25",95,"Secretaria Estadual de Saúde"
3348,"AP",845731,689,"2020-04-25",20,"Secretaria Estadual de Saúde"
3349,"TO",1572866,58,"2020-04-25",2,"Secretaria Estadual de Saúde"
3350,"MA",7075181,2223,"2020-04-25",112,"Secretaria Estadual de Saúde"
3351,"PI",3273227,331,"2020-04-25",18,"Secretaria Estadual de Saúde"
3352,"CE",9132078,5667,"2020-04-25",326,"Secretaria Estadual de Saúde"
3353,"RN",3506853,825,"2020-04-25",44,"Secretaria Estadual de Saúde"
4072,"AC",0,0,"2020-02-29",0,"Secretaria Estadual de Saúde"
4073,"AM",0,0,"2020-02-29",0,"Secretaria Estadual de Saúde"
4074,"RR",0,0,"2020-02-29",0,"Secretaria Estadual de Saúde"
4075,"PA",0,0,"2020-02-29",0,"Secretaria Estadual de Saúde"
4076,"AP",0,0,"2020-02-29",0,"Secretaria Estadual de Saúde"
2339,"CE",9132078,10,"2020-03-17",0,"Secretaria Estadual de Saúde"
2340,"PB",4018127,0,"2020-03-17",0,"Secretaria Estadual de Saúde"
2341,"PE",9557071,18,"2020-03-17",0,"Secretaria Estadual de Saúde"
2342,"AL",3337357,1,"2020-03-17",0,"Secretaria Estadual de Saúde"
2343,"BA",14873064,14,"2020-03-17",0,"Secretaria Estadual de Saúde"
2344,"MG",21168791,14,"2020-03-17",0,"Secretaria Estadual de Saúde"
2345,"ES",4018650,8,"2020-03-17",0,"Secretaria Estadual de Saúde"
2346,"PR",11433957,12,"2020-03-17",0,"Secretaria Estadual de Saúde"
2347,"SC",7164788,7,"2020-03-17",0,"Secretaria Estadual de Saúde"
2348,"MS",2778986,6,"2020-03-17",0,"Secretaria Estadual de Saúde"
2349,"GO",7018354,10,"2020-03-17",0,"Secretaria Estadual de Saúde"
2350,"SP",45919049,240,"2020-03-18",3,"Secretaria Estadual de Saúde"
2351,"AC",881935,3,"2020-03-18",0,"Secretaria Estadual de Saúde"
2352,"AM",4144597,2,"2020-03-18",0,"Secretaria Estadual de Saúde"
2353,"PA",8602865,1,"2020-03-18",0,"Secretaria Estadual de Saúde"
2354,"TO",1572866,1,"2020-03-18",0,"Secretaria Estadual de Saúde"
2355,"CE",9132078,19,"2020-03-18",0,"Secretaria Estadual de Saúde"
2356,"RN",3506853,1,"2020-03-18",0,"Secretaria Estadual de Saúde"
2357,"PB",4018127,1,"2020-03-18",0,"Secretaria Estadual de Saúde"
2358,"PE",9557071,19,"2020-03-18",0,"Secretaria Estadual de Saúde"
2359,"AL",3337357,1,"2020-03-18",0,"Secretaria Estadual de Saúde"
2360,"SE",2298696,6,"2020-03-18",0,"Secretaria Estadual de Saúde"
2361,"BA",14873064,27,"2020-03-18",0,"Secretaria Estadual de Saúde"
2362,"MG",21168791,19,"2020-03-18",0,"Secretaria Estadual de Saúde"
2363,"ES",4018650,11,"2020-03-18",0,"Secretaria Estadual de Saúde"
2364,"RJ",17264943,63,"2020-03-18",0,"Secretaria Estadual de Saúde"
2365,"PR",11433957,14,"2020-03-18",0,"Secretaria Estadual de Saúde"
2366,"SC",7164788,14,"2020-03-18",0,"Secretaria Estadual de Saúde"
2367,"RS",11377239,19,"2020-03-18",0,"Secretaria Estadual de Saúde"
2368,"MS",2778986,7,"2020-03-18",0,"Secretaria Estadual de Saúde"
2369,"GO",7018354,12,"2020-03-18",0,"Secretaria Estadual de Saúde"
2370,"DF",3015268,34,"2020-03-18",0,"Secretaria Estadual de Saúde"
2371,"SP",45919049,286,"2020-03-19",5,"Secretaria Estadual de Saúde"
2372,"AC",881935,4,"2020-03-19",0,"Secretaria Estadual de Saúde"
2373,"AM",4144597,3,"2020-03-19",0,"Secretaria Estadual de Saúde"
2374,"PA",8602865,1,"2020-03-19",0,"Secretaria Estadual de Saúde"
2375,"TO",1572866,1,"2020-03-19",0,"Secretaria Estadual de Saúde"
2376,"PI",3273227,3,"2020-03-19",0,"Secretaria Estadual de Saúde"
